CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,k,COUNCIL,COUNTY,PARISH,NGR,URL
2327,HY40NE 13,Heathery Howes,Enclosure (Period Unassigned),346410,1006300,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4641 0630,http://canmore.org.uk/site/2327
2334,HY40NE 2,Tower Hill,"Cist (Period Unassigned), Mound(S) (Period Unassigned)",346300,1009500,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 463 095,http://canmore.org.uk/site/2334
2341,HY40NE 3,'sir Hugh's Seat',Cairn (Period Unassigned),345420,1006000,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4542 0600,http://canmore.org.uk/site/2341
2343,HY40NE 5,Hillocks Of Garth,"Building(S) (Period Unassigned), Mound(S) (Period Unassigned), Nissen Hut (20th Century)",346780,1007800,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4678 0780,http://canmore.org.uk/site/2343
2347,HY40NE 9,'grimsquoy',"Burnt Mound (Prehistoric)(Possible), Mound(S) (Period Unassigned)",347290,1008460,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4729 0846,http://canmore.org.uk/site/2347
2348,HY40NW 1,Broch Of Lingro,"Broch (Iron Age)(Possible), Coin(S) (Roman)",343450,1008780,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4345 0878,http://canmore.org.uk/site/2348
2350,HY40NW 11,"Kirkwall, Hillhead House",Carved Stone (Period Unassigned),344800,1008400,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 448 084,http://canmore.org.uk/site/2350
2351,HY40NW 12,"Kirkwall, Hillhead House","Well (Period Unassigned), Carved Stone Ball",344730,1008660,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4473 0866,http://canmore.org.uk/site/2351
2352,HY40NW 13,Hillhead,Carved Stone Ball(S),344000,1008000,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 44 08,http://canmore.org.uk/site/2352
2354,HY40NW 2,Tofts Farm,Broch (Iron Age),343640,1009360,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4364 0936,http://canmore.org.uk/site/2354
