CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL,,,,ETRS89 Geodetic ( Decimal Degrees )
4306,NB43SE 3,"Lewis, Knock",Mace,149000,931000,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 49 31,http://canmore.org.uk/site/4306,,,,"58.1961073266, -6.2730819128, 56.1427"
4307,NB43SE 4,"Lewis, Aignish",Midden (Period Unassigned),148400,932220,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4840 3222,http://canmore.org.uk/site/4307,,,,"58.2066923312, -6.2845775157, 56.1745"
4309,NB43SE 7,"Lewis, Swordale",Axe Hammer,149000,930000,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 49 30,http://canmore.org.uk/site/4309,,,,"58.1871509466, -6.2720047152, 56.1339"
4310,NB43SE 8,"Lewis, Eilean Nan Caorach, Holm","Inorganic Material (Pumice), Slag, Unidentified Pottery",146000,930600,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 460 306,http://canmore.org.uk/site/4310,,,,"58.1908078922, -6.3235316256, 56.2705"
4311,NB43SE 9,"Lewis, Braighe, Broad Bay",Inhumation(S) (Period Unassigned),148010,932200,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4801 3220,http://canmore.org.uk/site/4311,,,,"58.206290503, -6.2911732178, 56.1904"
4312,NB43SW 1,"Lewis, Lews Castle College",Coin Hoard,142070,933220,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4207 3322,http://canmore.org.uk/site/4312,,,,"58.2119905099, -6.3930781244, 56.4498"
4313,NB43SW 10,"Lewis, Eilean Na Gothail",Fort (Period Unassigned),142600,932100,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 426 321,http://canmore.org.uk/site/4313,,,,"58.2022704122, -6.3828465667, 56.4257"
4314,NB43SW 11,"Lewis, Holm",Fort (Period Unassigned),144200,930500,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 442 305,http://canmore.org.uk/site/4314,,,,"58.1888725179, -6.3539474438, 56.3526"
4315,NB43SW 12,"Lewis, Stornoway",Axehead (Stone),142000,932000,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 42 32,http://canmore.org.uk/site/4315,,,,"58.20102434, -6.3929137799, 56.4532"
4317,NB43SW 14,"Lewis, Stornoway Gasworks",Gas Works (19-20th Century),142640,932610,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4264 3261,http://canmore.org.uk/site/4317,,,,"58.2068609219, -6.382731779, 56.4243"
4319,NB43SW 16,"Lewis, Creed Lodge",Saddle Quern,140440,932720,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4044 3272,http://canmore.org.uk/site/4319,,,,"58.2065566571, -6.4201774513, 56.5201"
4320,NB43SW 17,"Lewis, Creed Lodge",Stone (Period Unassigned),140400,932600,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 404 326,http://canmore.org.uk/site/4320,,,,"58.2054585451, -6.42072223, 56.5215"
4322,NB43SW 190,"Lewis, Stornoway Harbour",Harbour (Period Unassigned),142280,932600,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4228 3260,http://canmore.org.uk/site/4322,,,,"58.2065611266, -6.3888283115, 56.4403"
4327,NB43SW 25,"Lewis, Stornoway",Polished Axehead (Stone),140000,930000,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4 3,http://canmore.org.uk/site/4327,,,,"58.1819409008, -6.4246065301, 56.5437"
4328,NB43SW 3,"Lewis, Laxdale",Carved Stone Ball,142000,934000,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 42 34,http://canmore.org.uk/site/4328,,,,"58.2189345009, -6.3951308549, 56.4542"
