Date and time, Longitude (Deg),Latitude (Deg),Mean sea level pressure (mBar),EVENT ID 
03/12/2013 06:00,-56.834825,64.91904,1008.407,1
03/12/2013 12:00,-56.4524,64.15419,1012.068,1
03/12/2013 18:00,-55.381611,63.159886,1014.804,1
04/12/2013 00:00,-52.551668,62.471522,1015.799,1
04/12/2013 06:00,-40.314076,60.253458,1013.946,1
04/12/2013 12:00,-32.589097,59.947518,1010.058,1
04/12/2013 18:00,-23.028478,61.247762,1002.853,1
05/12/2013 00:00,-11.861676,60.865338,995.232,1
05/12/2013 06:00,-0.312449,60.100488,978.237,1
05/12/2013 12:00,8.02441,59.794548,967.665,1
05/12/2013 18:00,13.634703,58.644597,963.655,1
06/12/2013 00:00,17.279089,58.570789,963.584,1
31/12/2013 18:00,-62.112286,38.378763,1009.665,2
01/01/2014 00:00,-55.458096,39.984947,1004.405,2
01/01/2014 06:00,-48.956876,41.438161,1001.719,2
01/01/2014 12:00,-42.302685,43.656225,996.055,2
01/01/2014 18:00,-36.566314,45.491863,989.769,2
02/01/2014 00:00,-31.212368,47.709927,982.989,2
02/01/2014 06:00,-27.005696,49.545566,974.134,2
02/01/2014 12:00,-21.651749,50.922295,967.284,2
02/01/2014 18:00,-18.056957,53.981692,960.692,2
03/01/2014 00:00,-14.844589,55.052482,958.845,2
03/01/2014 06:00,-12.932465,56.811635,956.791,2
03/01/2014 12:00,-9.108218,58.723759,956.687,2
03/01/2014 18:00,-7.349064,60.176973,957.951,2
04/01/2014 00:00,-6.6607,61.324247,963.952,2
04/01/2014 06:00,-8.649308,62.395037,967.499,2
04/01/2014 12:00,-7.349064,63.236371,973.002,2
04/01/2014 18:00,-5.819365,64.383645,975.303,2
05/01/2014 00:00,-5.131001,66.066314,979.028,2
05/01/2014 06:00,-5.207486,66.907648,982.6,2
05/01/2014 12:00,-7.807974,66.831164,984.762,2
05/01/2014 18:00,-8.419854,66.907648,984.727,2
02/01/1991 12:00,-73.661513,34.554516,1022.051,3
02/01/1991 18:00,-71.825875,35.931245,1020.291,3
03/01/1991 00:00,-68.766477,37.843369,1019.029,3
03/01/1991 06:00,-64.02441,39.984947,1015.276,3
03/01/1991 12:00,-57.52319,41.361676,1011.867,3
03/01/1991 18:00,-51.098454,43.962164,1005.559,3
04/01/1991 00:00,-44.138324,46.409683,999.914,3
04/01/1991 06:00,-36.107404,50.23393,986.621,3
04/01/1991 12:00,-29.529699,52.757933,975.978,3
04/01/1991 18:00,-23.563873,54.517087,967.225,3
05/01/1991 00:00,-18.362897,55.817331,958.677,3
05/01/1991 06:00,-15.074044,56.735151,954.936,3
05/01/1991 12:00,-12.014646,56.811635,953.57,3
05/01/1991 18:00,-7.502034,56.964605,958.735,3
06/01/1991 00:00,-1.612693,57.80594,963.774,3
06/01/1991 06:00,2.288039,58.11188,967.46,3
06/01/1991 12:00,6.571196,58.876729,973.09,3
06/01/1991 18:00,8.48332,59.641579,977.621,3
07/01/1991 00:00,15.213995,60.024003,979.725,3
30/01/2002 18:00,-53.087063,42.279496,1010.706,4
31/01/2002 00:00,-47.656631,42.81489,1006.395,4
31/01/2002 06:00,-40.237592,43.656225,996.361,4
31/01/2002 12:00,-33.124491,46.103743,983.159,4
31/01/2002 18:00,-27.464605,49.010171,963.616,4
01/02/2002 00:00,-22.569569,52.604963,953.173,4
01/02/2002 06:00,-18.286412,55.358421,945.152,4
01/02/2002 12:00,-17.598047,58.723759,941.23,4
01/02/2002 18:00,-16.221318,60.024003,939.36,4
02/02/2002 00:00,-16.221318,61.400732,942.83,4
02/02/2002 06:00,-16.756713,61.783157,943.648,4
02/02/2002 12:00,-15.685924,62.548007,948.853,4
02/02/2002 18:00,-13.46786,63.695281,955.417,4
03/02/2002 00:00,-10.255492,65.530919,962.67,4
03/02/2002 06:00,-6.35476,67.672498,964.73,4
03/02/2002 12:00,-3.371847,69.278682,969.441,4
03/02/2002 18:00,-2.759967,70.502441,971.058,4
04/02/2002 00:00,-0.082994,72.03214,969.178,4
04/02/2002 06:00,-1.153784,73.485354,969.366,4
04/02/2002 12:00,-1.918633,73.791294,970.432,4
04/02/2002 18:00,-2.989422,73.944264,972.672,4
05/02/2002 00:00,-4.595606,74.097234,976.558,4
05/02/2002 06:00,-6.6607,74.020749,979.166,4
05/02/2002 12:00,-8.878763,73.102929,981.895,4
05/02/2002 18:00,-10.408462,72.873474,982.954,4
06/02/2002 00:00,-11.632221,72.949959,985.324,4
06/02/2002 06:00,-10.943857,72.03214,988.415,4
09/12/1981 12:00,-62.265256,43.12083,987.782,5
09/12/1981 18:00,-60.200163,43.12083,983.907,5
10/12/1981 00:00,-60.200163,44.727014,982.451,5
10/12/1981 06:00,-60.735557,45.415378,983.191,5
10/12/1981 12:00,-60.735557,45.491863,984.473,5
10/12/1981 18:00,-60.582587,45.721318,984.817,5
11/12/1981 00:00,-59.894223,45.797803,985.96,5
11/12/1981 06:00,-59.588283,46.180228,986.795,5
11/12/1981 12:00,-57.599675,46.562653,989.221,5
11/12/1981 18:00,-54.310822,47.633442,989.501,5
12/12/1981 00:00,-46.203417,50.998779,988.811,5
12/12/1981 06:00,-46.738812,51.457689,985.306,5
12/12/1981 12:00,-46.891782,51.687144,983.319,5
12/12/1981 18:00,-29.376729,51.534174,985.938,5
13/12/1981 00:00,-19.204231,52.681448,982.027,5
13/12/1981 06:00,-15.762408,52.834418,973.632,5
13/12/1981 12:00,-10.714402,52.146054,968.722,5
13/12/1981 18:00,-5.666395,52.069569,968.993,5
14/12/1981 00:00,-1.536208,52.375509,974.511,5
14/12/1981 06:00,2.823434,52.681448,978.718,5
14/12/1981 12:00,7.336046,52.604963,982.694,5
14/12/1981 18:00,11.619203,52.834418,987.239,5
15/12/1981 00:00,14.219691,52.681448,989.502,5
28/01/1983 12:00,-72.590724,34.172091,1005.269,6
28/01/1983 18:00,-70.449146,36.00773,1002.625,6
29/01/1983 00:00,-68.384052,36.925549,1002.136,6
29/01/1983 06:00,-66.013019,37.537429,1001.168,6
29/01/1983 12:00,-62.571196,38.378763,1001.827,6
29/01/1983 18:00,-58.670464,40.061432,1001.194,6
30/01/1983 00:00,-56.4524,40.520342,1001.379,6
30/01/1983 06:00,-52.551668,41.744101,1000.264,6
30/01/1983 12:00,-35.1131,49.698535,997.991,6
30/01/1983 18:00,-29.070789,51.534174,993.425,6
31/01/1983 00:00,-23.563873,53.905207,989.944,6
31/01/1983 06:00,-18.362897,54.899512,982.723,6
31/01/1983 12:00,-13.7738,56.352726,975.019,6
31/01/1983 18:00,-10.255492,57.34703,965.263,6
01/02/1983 00:00,-4.748576,57.34703,963.061,6
01/02/1983 06:00,0.60537,57.80594,960.1,6
01/02/1983 12:00,5.270952,57.729455,964.311,6
01/02/1983 18:00,10.013019,57.576485,969.79,6
02/02/1983 00:00,15.13751,57.270545,973.989,6
02/02/1983 06:00,18.808788,56.811635,978.838,6
08/01/1993 12:00,-64.02441,40.367372,1015.105,7
08/01/1993 18:00,-58.288039,42.126526,1009.007,7
09/01/1993 00:00,-54.157852,43.350285,1005.914,7
09/01/1993 06:00,-45.668023,44.879984,1002.022,7
09/01/1993 12:00,-37.331164,47.327502,996.462,7
09/01/1993 18:00,-29.682669,51.151749,981.619,7
10/01/1993 00:00,-22.110659,54.440602,965.959,7
