id_no,name_en,,,longitude,latitude,,,,,,,,,,,,,,,,iso_code,undp_code,transbound,no_serial,her_type1,her_type2,her_type3,buffer_ha,srtm_min,srtm_max,srtm_mean,p_lecz,ur_grump,ur_mod_buf,ur_joined,dist_MCD,dist_gshhs,dist_join
36,Medina of Tunis,,,10.16998584,36.79955799,,,,,,,,,,,,,,,,tn,tun,0,1,2,,,190.19,6,52,20.088,0.256172209,1,1,1,968.317709,8476.570679,968.317709
37,Archaeological Site of Carthage,,,10.31521854,36.85153799,,,,,,,,,,,,,,,,tn,tun,0,13,2,3,,0,-3,59,25.251,0.297267227,1,1,1,0,0,0
79,Paphos,,,32.40772424,34.75956296,,,,,,,,,,,,,,,,cy,cyp,0,3,3,,,0,0,93,18.563,0.517289359,1,1,1,0,0,0
95,Old City of Dubrovnik,,,18.11668871,42.63096616,,,,,,,,,,,,,,,,hr,hrv,0,2,2,,,53.7,-4,82,22.523,0.238213502,1,1,1,0,0,0
97,Historical Complex of Split with the Palace of Diocletian,,,16.43914232,43.50869903,,,,,,,,,,,,,,,,hr,hrv,0,1,2,,,0,-3,16,5.0556,0.738397191,1,1,1,0,0,0
125,Natural and Culturo-Historical Region of Kotor,,,18.75026368,42.46337537,,,,,,,,,,,,,,,,me,mne,0,1,1,2,,36491,-10,1374,358.69,0.265859027,1,1,0,0,0,0
131,City of Valletta,,,14.5135434,35.89893083,,,,,,,,,,,,,,,,mt,mlt,0,1,2,,,0,0,68,40.13,0.085241716,1,1,1,0,0,0
164,"Arles, Roman and Romanesque Monuments",,,4.629322893,43.67769678,,,,,,,,,,,,,,,,fr,fra,0,1,2,,,0,2,29,15.194,0.223063184,1,1,1,25700.40485,23654.82347,25700.40485
183,Archaeological Site of Leptis Magna,,,14.29386611,32.63696721,,,,,,,,,,,,,,,,ly,lby,0,1,3,,,-9999,0,30,12.824,0.337236316,1,1,0,0,27.04842146,0
184,Archaeological Site of Sabratha,,,12.48790907,32.80614153,,,,,,,,,,,,,,,,ly,lby,0,1,3,,,-9999,1,16,10.694,0.457572396,1,1,0,0,9.030832107,0
