unique_id,id_no,name_en,,longitude,latitude
0,570,Butrint,,20.0377031,39.74476315
1,565,Kasbah of Algiers,,3.061006459,36.78510586
2,193,Tipasa,,2.553167,36.57483301
3,193,Tipasa,,2.457751051,36.59384249
4,193,Tipasa,,2.442423886,36.59347065
5,809,Episcopal Complex of the Euphrasian Basilica in the Historic Centre of Pore?,,13.59322541,45.22869048
6,97,Historical Complex of Split with the Palace of Diocletian,,16.43914232,43.50869903
7,95,Old City of Dubrovnik,,18.11668871,42.63096616
8,810,Historic City of Trogir,,16.24948866,43.51639052
9,963,The Cathedral of St James in Šibenik,,15.88911514,43.73566763
10,95,Old City of Dubrovnik,,18.10852881,42.64102801
11,1240,Stari Grad Plain,,16.63414237,43.18243755
12,79,Paphos,,32.573333,34.70861103
13,79,Paphos,,32.40516267,34.77569745
14,79,Paphos,,32.40772424,34.75956296
22,164,"Arles, Roman and Romanesque Monuments",,4.629322893,43.67769678
24,493,Medieval City of Rhodes,,28.22661784,36.44298405
25,530,Delos,,25.27093963,37.39330385
26,595,Pythagoreion and Heraion of Samos,,26.88967317,37.67902848
27,978,Old Town of Corfu,,19.92267046,39.62435972
28,595,Pythagoreion and Heraion of Samos,,26.93401282,37.69635438
31,1220,Bahá’i Holy Places in Haifa and the Western Galilee,,34.987123,32.814607
32,1220,Bahá’i Holy Places in Haifa and the Western Galilee,,34.992072,32.818005
33,1220,Bahá’i Holy Places in Haifa and the Western Galilee,,34.974909,32.822591
34,1220,Bahá’i Holy Places in Haifa and the Western Galilee,,34.97168319,32.82951032
35,1220,Bahá’i Holy Places in Haifa and the Western Galilee,,35.09236199,32.94350692
36,1220,Bahá’i Holy Places in Haifa and the Western Galilee,,35.06911588,32.92362603
37,1220,Bahá’i Holy Places in Haifa and the Western Galilee,,35.06731832,32.92151122
38,1220,Bahá’i Holy Places in Haifa and the Western Galilee,,35.06799845,32.9236727
39,1220,Bahá’i Holy Places in Haifa and the Western Galilee,,35.09011471,32.9163676
40,1220,Bahá’i Holy Places in Haifa and the Western Galilee,,35.09977824,32.98719269
41,1220,Bahá’i Holy Places in Haifa and the Western Galilee,,35.09524497,32.99423084
42,1042,Old City of Acre,,35.07028866,32.9226549
43,1096,White City of Tel-Aviv -- the Modern Movement,,34.77396203,32.07385877
45,394,Venice and its Lagoon,,12.37550933,45.47187121
46,788,Early Christian Monuments of Ravenna,,12.197342,44.415614
49,788,Early Christian Monuments of Ravenna,,12.19634796,44.42053278
57,825,Archaeological Area and the Patriarchal Basilica of Aquileia,,13.3667075,45.77351197
58,842,"Cilento and Vallo di Diano National Park with the Archeological Sites of Paestum and Velia, and the Certosa di Padula",,15.37649056,40.32880639
59,842,"Cilento and Vallo di Diano National Park with the Archeological Sites of Paestum and Velia, and the Certosa di Padula",,15.0042921,40.26070331
60,842,"Cilento and Vallo di Diano National Park with the Archeological Sites of Paestum and Velia, and the Certosa di Padula",,15.37718577,40.07664114
61,829,"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata",,14.34761,40.80833
62,712,City of Vicenza and the Palladian Villas of the Veneto,,11.469609,45.230557
63,712,City of Vicenza and the Palladian Villas of the Veneto,,11.625166,45.57298
64,829,"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata",,14.45628,40.75628
65,712,City of Vicenza and the Palladian Villas of the Veneto,,11.566445,45.312559
66,712,City of Vicenza and the Palladian Villas of the Veneto,,11.600919,45.559414
67,829,"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata",,14.477437,40.75367799
68,829,"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata",,14.45256,40.75706
69,829,"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata",,14.34485181,40.80818282
70,712,City of Vicenza and the Palladian Villas of the Veneto,,11.533394,45.747741
71,712,City of Vicenza and the Palladian Villas of the Veneto,,11.63985794,45.03059463
72,712,City of Vicenza and the Palladian Villas of the Veneto,,11.371396,45.357154
73,712,City of Vicenza and the Palladian Villas of the Veneto,,11.562264,45.65891901
74,712,City of Vicenza and the Palladian Villas of the Veneto,,11.508086,45.61509601
75,712,City of Vicenza and the Palladian Villas of the Veneto,,10.923894,45.49938101
76,712,City of Vicenza and the Palladian Villas of the Veneto,,11.584425,45.60746201
77,712,City of Vicenza and the Palladian Villas of the Veneto,,11.72361,45.78056001
78,712,City of Vicenza and the Palladian Villas of the Veneto,,11.412739,45.43257001
79,726,Historic Centre of Naples,,14.1920714,40.79571993
80,712,City of Vicenza and the Palladian Villas of the Veneto,,11.61021,45.57994601
81,712,City of Vicenza and the Palladian Villas of the Veneto,,11.534809,45.74571501
82,826,"Portovenere, Cinque Terre, and the Islands (Palmaria, Tino and Tinetto)",,9.851148765,44.02378408
83,712,City of Vicenza and the Palladian Villas of the Veneto,,12.2005713,45.43643002
84,712,City of Vicenza and the Palladian Villas of the Veneto,,11.49937378,45.28497376
85,712,City of Vicenza and the Palladian Villas of the Veneto,,11.976502,45.81217502
86,712,City of Vicenza and the Palladian Villas of the Veneto,,11.99917,45.60389002
87,712,City of Vicenza and the Palladian Villas of the Veneto,,12.64393731,45.70182583
88,712,City of Vicenza and the Palladian Villas of the Veneto,,11.56,45.53167002
89,829,"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata",,14.34734494,40.80528938
90,712,City of Vicenza and the Palladian Villas of the Veneto,,11.644657,45.50311903
